Temperature             Resistance
(Kelvin)                (Ohms)

1.20373983540079E+00   1.56232084351390E+04
1.29907694897341E+00   1.32031129948124E+04
1.40134924537888E+00   1.12505913510992E+04
1.60421584540442E+00   8.61244148697921E+03
1.79824386282225E+00   7.00274381073479E+03
1.99805836389375E+00   5.86210818308993E+03
2.20223598942666E+00   5.02198818321020E+03
2.39978088124949E+00   4.41121987713445E+03
2.59821965249588E+00   3.93323135171271E+03
2.79899419263463E+00   3.54822552117710E+03
2.99442748936515E+00   3.24312321881881E+03
3.19494953449778E+00   2.98409071124186E+03
3.39716392163455E+00   2.76488717173736E+03
3.59591005788297E+00   2.58172621500680E+03
3.79176531171359E+00   2.42616548358907E+03
3.99883322907245E+00   2.28305190855026E+03
4.20811922610646E+00   2.15637966682293E+03
4.64464549607654E+00   1.94005220210743E+03
5.04107621125299E+00   1.78158111176197E+03
5.54334821152392E+00   1.62069442193538E+03
6.25204594526170E+00   1.44487624965289E+03
7.06376593329199E+00   1.29263613582667E+03
8.07994249447636E+00   1.14967936685054E+03
9.10505749000386E+00   1.04030873745724E+03
1.01238636344268E+01   9.54442269382140E+02
1.11441285789687E+01   8.84525042105285E+02
1.21567335301985E+01   8.26683215459843E+02
1.31607510936931E+01   7.77918719258500E+02
1.41555406831464E+01   7.36160128692723E+02
1.51440419238272E+01   6.99765873081389E+02
1.61270576333269E+01   6.67663863767696E+02
1.71056707890180E+01   6.38989257766200E+02
1.80827562896791E+01   6.13166203758762E+02
1.90636889993601E+01   5.89612118558422E+02
2.00439886525852E+01   5.68039972682287E+02
2.11209674194117E+01   5.46389409770861E+02
2.27098428344726E+01   5.17656306287259E+02
2.43127613128590E+01   4.91929245914926E+02
2.59192995211567E+01   4.68851474561700E+02
2.75386199858269E+01   4.47881423851114E+02
2.91546591883334E+01   4.28906996835787E+02
3.09735533100629E+01   4.09522047672625E+02
3.30852548956524E+01   3.89255012160174E+02
3.60907429146584E+01   3.63860177025127E+02
3.90861776112200E+01   3.41834024870823E+02
4.20810546897755E+01   3.22502079878792E+02
4.50754594877922E+01   3.05323967738366E+02
4.80762003765273E+01   2.89971997159210E+02
5.00705296933733E+01   2.80623950048246E+02
5.50713694546953E+01   2.59785167803526E+02
6.00765953637313E+01   2.41901899354083E+02
6.50735363703525E+01   2.26480328688235E+02
7.00748809700068E+01   2.12956134395033E+02
7.50716614438827E+01   2.01003782303025E+02
8.00650215553759E+01   1.90361555432675E+02
8.50605575767616E+01   1.80821442416640E+02
9.00561933057241E+01   1.72208619476545E+02
9.50506594619692E+01   1.64385956264777E+02
1.00051424231720E+02   1.57232524162018E+02
1.10055993726974E+02   1.44651356022285E+02
1.20055710348378E+02   1.33941916592240E+02
1.30047773023277E+02   1.24704307064800E+02
1.40046456304032E+02   1.16644915397056E+02
1.50041544184065E+02   1.09566910138991E+02
1.60039446666499E+02   1.03286998001014E+02
1.70039602683604E+02   9.76934829091669E+01
1.80039940218666E+02   9.26756900759746E+01
1.90034675159392E+02   8.81646306190468E+01
2.00025901132518E+02   8.40767431404556E+01
2.10030393986664E+02   8.03588388712856E+01
2.20036869654027E+02   7.69742416239581E+01
2.30031364623136E+02   7.38776336437940E+01
2.40029211625614E+02   7.10388291121757E+01
2.50035771768165E+02   6.84245576018427E+01
2.60019964244903E+02   6.60193222222469E+01
2.70036619326450E+02   6.37819347442007E+01
2.80028650430916E+02   6.17214141466734E+01
2.90039115364322E+02   5.98014574934559E+01
3.00036508715047E+02   5.80154264480962E+01
3.10033157944252E+02   5.63511284599599E+01
3.20024190542804E+02   5.47922544877691E+01
3.29334968235151E+02   5.34370111881051E+01
3.39293523604170E+02   5.20716996119806E+01
3.49266572468539E+02   5.07894885601302E+01
3.59214596654825E+02   4.95866853920035E+01
3.69166435316475E+02   4.84545157508496E+01
3.79176587857618E+02   4.73774780714974E+01
3.89161656918459E+02   4.63659826438994E+01
3.99156308129151E+02   4.54105415262425E+01
4.09164476261913E+02   4.45031106872693E+01
4.19157265254501E+02   4.36455570774506E+01
4.24150044423131E+02   4.32319107772564E+01
