   T1x    T2x    T3x    B1x    B2x    B3x    T1z    T2z    T3z    B1z    B2z    B3z
 12.00  43.00  22.00 -12.00 -42.00 -27.00 -68.00   2.00  19.00  63.00  -3.00 -18.00
 17.00  19.00 -16.00 -17.00 -13.00  17.00 -40.00  57.00  -6.00  36.00 -55.00   6.00
 15.00  17.00 -15.00 -13.00 -20.00  17.00 -38.00  57.00  -6.00  36.00 -50.00   9.00
 15.00  15.00 -17.00 -17.00 -17.00  14.00 -37.00  58.00  -6.00  35.00 -40.00   5.00
 17.00  17.00 -20.00 -16.00 -20.00  17.00 -33.00  60.00  -5.00  35.00 -49.00   5.00
 13.00  18.00 -17.00 -14.00 -16.00  16.00 -37.00  59.00  -6.00  32.00 -54.00   5.00
 14.00  14.00 -16.00 -11.00 -17.00  16.00 -38.00  51.00  -8.00  37.00 -51.00   5.00
 14.00  14.00 -17.00 -10.00 -16.00  16.00 -38.00  61.00  -5.00  37.00 -57.00   6.00
 14.00  14.00 -18.00 -16.00 -17.00  16.00 -36.00  47.00  -7.00  39.00 -49.00   4.00
  8.00  26.00 -18.00 -12.00 -18.00  15.00 -35.00  56.00  -4.00  29.00 -44.00   6.00
  8.00  20.00 -18.00 -12.00 -14.00  14.00 -34.00  45.00  -6.00  28.00 -37.00   9.00
 16.00  20.00 -14.00 -12.00 -13.00  15.00 -40.00  54.00  -7.00  35.00 -56.00   7.00
 15.00  14.00 -15.00 -18.00 -18.00  14.00 -37.00  54.00  -7.00  36.00 -53.00   6.00
  4.00  17.00 -10.00 -24.00  -9.00  16.00 -27.00  39.00  -3.00  35.00 -63.00   9.00
 12.00  13.00 -13.00 -17.00 -11.00  19.00 -35.00  42.00  -5.00  33.00 -56.00   7.00
 11.00  17.00 -15.00 -14.00 -15.00  20.00 -38.00  55.00  -7.00  32.00 -49.00  10.00
 13.00  19.00 -16.00 -15.00 -11.00  15.00 -35.00  52.00  -9.00  39.00 -63.00   8.00
 12.00  15.00 -18.00 -12.00 -23.00  15.00 -38.00  58.00  -6.00  38.00 -55.00   7.00
 11.00  17.00 -16.00 -16.00 -13.00  13.00 -32.00  51.00  -4.00  34.00 -53.00   7.00
 13.00  17.00 -14.00 -15.00 -10.00  16.00 -32.00  46.00  -6.00  32.00 -49.00   4.00
 13.00  19.00 -18.00 -12.00 -18.00  19.00 -39.00  56.00  -5.00  37.00 -46.00   6.00
 14.00  22.00 -18.00 -10.00 -22.00  16.00 -38.00  59.00  -7.00  39.00 -53.00   6.00
 18.00  14.00 -20.00 -18.00 -21.00  15.00 -35.00  55.00  -6.00  41.00 -51.00   5.00
 15.00  14.00 -20.00 -14.00 -24.00  17.00 -39.00  53.00  -7.00  41.00 -55.00   4.00
 15.00  19.00 -16.00 -24.00 -14.00  17.00 -40.00  54.00  -6.00  37.00 -60.00   7.00
 14.00  24.00 -18.00 -14.00 -23.00  17.00 -38.00  56.00  -8.00  38.00 -53.00   9.00
 23.00  21.00 -17.00 -15.00 -24.00  18.00 -37.00  57.00  -7.00  41.00 -52.00   7.00
 10.00  19.00 -13.00 -21.00 -16.00  20.00 -38.00  50.00  -5.00  39.00 -62.00   7.00
 12.00  16.00 -12.00 -13.00 -20.00  20.00 -36.00  46.00  -6.00  39.00 -62.00   5.00
 12.00  17.00 -11.00 -17.00 -20.00  11.00 -37.00  44.00  -7.00  40.00 -58.00   6.00
 17.00  12.00 -15.00  -9.00 -14.00  12.00 -40.00  58.00  -8.00  37.00 -44.00   6.00
 17.00  16.00 -16.00 -13.00 -21.00  12.00 -40.00  44.00  -6.00  40.00 -46.00   6.00
 15.00  21.00 -15.00 -12.00 -14.00  16.00 -39.00  52.00  -7.00  40.00 -57.00   9.00
 12.00  13.00 -13.00 -15.00 -12.00  12.00 -40.00  47.00  -5.00  40.00 -59.00   8.00
 10.00  20.00 -11.00 -14.00 -16.00  16.00 -37.00  41.00  -6.00  42.00 -59.00   6.00
 11.00  18.00 -16.00 -13.00 -21.00  15.00 -39.00  57.00  -7.00  40.00 -48.00   6.00
 13.00  17.00 -15.00 -23.00 -24.00  17.00 -39.00  54.00  -9.00  36.00 -43.00   6.00
 20.00  28.00 -17.00 -13.00 -19.00  12.00 -41.00  58.00  -6.00  38.00 -59.00   3.00
