Time 	  T Cryostat 	 T Sample
======================================
1474486875.0	4.237	4.248
1474486905.39	4.237	4.25
1474486935.67	4.238	4.249
1474486965.96	4.237	4.25
1474486996.28	4.236	4.25
1474487026.73	4.238	4.25
1474487057.02	4.236	4.25
1474487087.29	4.237	4.25
1474487117.54	4.238	4.25
1474487147.76	4.236	4.25
1474487178.15	4.237	4.249
1474487208.44	4.237	4.249
1474487238.72	4.237	4.25
1474487269.03	4.237	4.249
1474487299.44	4.236	4.249
1474487329.73	4.237	4.25
1474487360.05	4.237	4.249
1474487390.31	4.237	4.249
1474487420.53	4.237	4.25
1474487450.95	4.236	4.25
1474487481.21	4.236	4.249
1474487511.46	4.236	4.25
1474487541.71	4.236	4.248
1474487571.92	4.236	4.25
1474487602.17	4.237	4.249
1474487632.5	4.236	4.248
1474487662.94	4.235	4.249
1474487693.17	4.236	4.249
1474487723.45	4.236	4.249
1474487753.73	4.236	4.249
1474487784.01	4.236	4.248
1474487814.28	4.236	4.249
1474487844.71	4.236	4.249
1474487875.0	4.238	4.249
1474487905.38	4.237	4.249
1474487935.72	4.235	4.249
1474487966.0	4.236	4.249
1474487996.31	4.238	4.249
1474488026.57	4.236	4.249
1474488056.96	4.236	4.25
1474488087.18	4.237	4.249
1474488117.43	4.236	4.249
1474488147.68	4.236	4.25
1474488177.96	4.237	4.248
1474488208.23	4.237	4.248
1474488238.51	4.236	4.249
1474488268.83	4.237	4.249
1474488299.05	4.238	4.249
1474488329.51	4.237	4.249
1474488359.98	4.236	4.248
1474488390.26	4.235	4.25
1474488420.64	4.238	4.248
1474488450.94	4.238	4.249
1474488481.2	4.237	4.25
1474488511.48	4.237	4.249
1474488541.73	4.237	4.249
1474488572.01	4.235	4.249
1474488602.32	4.236	4.249
1474488632.54	4.236	4.25
1474488662.82	4.238	4.249
1474488693.05	4.237	4.247
1474488723.51	4.237	4.249
1474488753.83	4.236	4.249
1474488784.1	4.237	4.249
1474488814.5	4.236	4.249
1474488844.78	4.238	4.249
1474488875.02	4.236	4.249
1474488905.49	4.237	4.249
1474488935.71	4.236	4.249
1474488966.03	4.237	4.249
1474488996.34	4.236	4.248
1474489026.73	4.235	4.248
1474489057.02	4.236	4.249
1474489087.33	4.236	4.248
1474489117.76	4.236	4.249
1474489148.01	4.236	4.249
1474489178.28	4.237	4.249
1474489208.51	4.236	4.249
1474489238.72	4.236	4.25
1474489269.04	4.237	4.248
1474489299.32	4.236	4.248
1474489329.61	4.237	4.249
1474489360.04	4.238	4.248
1474489390.27	4.235	4.25
1474489420.54	4.237	4.249
1474489450.77	4.236	4.25
1474489481.04	4.236	4.249
1474489511.25	4.237	4.249
1474489541.54	4.238	4.249
1474489571.81	4.237	4.25
1474489602.29	4.236	4.249
1474489632.52	4.236	4.249
1474489662.8	4.237	4.249
1474489693.08	4.236	4.249
1474489723.37	4.236	4.249
1474489753.73	4.238	4.249
1474489784.02	4.236	4.249
1474489814.27	4.237	4.248
1474489844.55	4.236	4.249
1474489875.04	4.236	4.25
1474489905.51	4.237	4.249
1474489935.8	4.236	4.248
1474489966.23	4.237	4.249
1474489996.52	4.237	4.249
1474490026.77	4.237	4.249
1474490057.03	4.237	4.249
1474490087.31	4.237	4.249
1474490117.54	4.238	4.248
1474490147.81	4.236	4.249
1474490178.3	4.237	4.249
1474490208.61	4.236	4.25
1474490238.88	4.237	4.248
1474490269.3	4.238	4.249
1474490300.57	4.237	4.25
1474490330.84	4.237	4.249
1474490361.14	4.236	4.25
1474490391.43	4.237	4.25
1474490421.63	4.237	4.249
1474490451.88	4.236	4.249
1474490482.19	4.235	4.249
1474490512.53	4.238	4.249
1474490542.78	4.237	4.249
1474490573.07	4.237	4.249
1474490603.35	4.236	4.249
1474490633.6	4.236	4.249
1474490663.89	4.238	4.249
1474490694.21	4.236	4.249
1474490724.53	4.237	4.249
1474490754.79	4.237	4.249
1474490785.07	4.236	4.248
1474490815.39	4.236	4.249
1474490845.64	4.237	4.249
1474490876.01	4.236	4.248
1474490906.33	4.237	4.249
1474490936.61	4.237	4.249
1474490967.04	4.236	4.25
1474490997.3	4.237	4.25
1474491027.55	4.237	4.25
1474491057.83	4.236	4.249
1474491088.29	4.235	4.249
1474491118.55	4.237	4.249
1474491148.83	4.237	4.25
1474491179.26	4.237	4.249
1474491209.58	4.236	4.249
1474491239.9	4.237	4.249
1474491270.16	4.237	4.249
1474491300.51	4.236	4.25
1474491330.77	4.236	4.249
1474491361.05	4.238	4.249
1474491391.3	4.237	4.25
1474491421.59	4.237	4.249
1474491451.91	4.237	4.249
1474491482.16	4.237	4.249
1474491512.41	4.237	4.249
1474491542.81	4.238	4.249
1474491573.06	4.236	4.249
1474491603.34	4.235	4.248
1474491633.62	4.238	4.249
1474491664.05	4.237	4.249
1474491694.34	4.237	4.248
1474491724.62	4.237	4.249
1474491754.9	4.236	4.249
1474491785.15	4.236	4.249
1474491815.42	4.237	4.25
1474491845.86	4.237	4.249
1474491876.09	4.235	4.248
1474491906.36	4.236	4.249
1474491936.63	4.237	4.249
1474491967.1	4.237	4.251
1474491997.42	4.236	4.249
1474492027.68	4.237	4.249
1474492057.98	4.236	4.248
1474492088.24	4.237	4.248
1474492118.49	4.236	4.249
1474492148.81	4.237	4.249
1474492179.1	4.236	4.249
1474492209.34	4.238	4.248
1474492239.63	4.236	4.249
1474492269.98	4.236	4.249
1474492300.18	4.236	4.248
1474492330.61	4.237	4.249
1474492360.93	4.237	4.249
1474492391.34	4.236	4.25
1474492421.56	4.236	4.249
1474492451.84	4.236	4.249
1474492482.12	4.237	4.249
1474492512.35	4.236	4.249
1474492542.69	4.236	4.25
1474492572.94	4.237	4.249
1474492603.25	4.237	4.248
1474492633.5	4.237	4.25
1474492663.86	4.237	4.249
1474492694.17	4.236	4.25
1474492724.4	4.236	4.249
1474492754.69	4.236	4.248
1474492785.06	4.236	4.249
1474492815.35	4.237	4.249
1474492845.6	4.237	4.249
1474492875.88	4.238	4.249
1474492906.19	4.237	4.249
1474492936.62	4.237	4.249
1474492966.95	4.237	4.249
1474492997.38	4.237	4.249
1474493027.81	4.237	4.249
1474493058.13	4.239	4.25
1474493088.51	4.238	4.249
1474493118.71	4.236	4.25
1474493149.1	4.237	4.249
1474493179.34	4.238	4.25
1474493209.6	4.238	4.25
1474493239.85	4.237	4.25
1474493270.13	4.237	4.249
1474493300.37	4.237	4.249
1474493330.64	4.238	4.25
1474493360.88	4.238	4.249
1474493391.11	4.237	4.25
1474493421.39	4.237	4.249
1474493451.7	4.237	4.249
1474493481.96	4.237	4.249
1474493512.38	4.238	4.251
1474493542.7	4.237	4.249
1474493573.07	4.236	4.249
1474493603.32	4.236	4.249
1474493633.6	4.236	4.25
1474493663.89	4.237	4.25
1474493694.12	4.237	4.249
1474493724.37	4.237	4.249
1474493754.64	4.238	4.25
1474493785.9	4.237	4.248
1474493816.22	4.238	4.25
1474493846.65	4.237	4.248
1474493877.12	4.238	4.25
1474493907.4	4.236	4.249
1474493937.72	4.237	4.25
1474493968.15	4.237	4.249
1474493998.46	4.237	4.249
1474494028.72	4.236	4.249
1474494059.03	4.238	4.25
1474494089.23	4.238	4.25
1474494119.47	4.236	4.249
1474494149.72	4.237	4.25
1474494180.09	4.238	4.249
1474494210.41	4.237	4.249
1474494240.9	4.237	4.249
1474494271.21	4.238	4.248
1474494301.62	4.237	4.249
1474494331.91	4.237	4.249
1474494362.23	4.236	4.249
1474494392.64	4.236	4.249
1474494422.88	4.237	4.249
1474494453.17	4.237	4.249
1474494483.45	4.237	4.249
1474494513.88	4.236	4.248
1474494544.13	4.237	4.249
1474494574.38	4.237	4.249
1474494604.63	4.236	4.248
1474494634.86	4.237	4.249
1474494665.14	4.238	4.248
